Labels,HF PL,
Type,Emission Scan,
Comment,,
Start,420.00,
Stop,750.00,
Step,2.00,
Fixed/Offset,365.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Microsecond Flashlamp,
Temp,0.00,
Scan Polariser,None,
Scan Slit,14.0,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,16.000008,
Detector,PMT-900,

420.00,1.26030000E+4,
422.00,1.27140000E+4,
424.00,1.27030000E+4,
426.00,1.28690000E+4,
428.00,1.30420000E+4,
430.00,1.27680000E+4,
432.00,1.32410000E+4,
434.00,1.30920000E+4,
436.00,1.28790000E+4,
438.00,1.31810000E+4,
440.00,1.29450000E+4,
442.00,1.28710000E+4,
444.00,1.27400000E+4,
446.00,1.26360000E+4,
448.00,1.21790000E+4,
450.00,1.21540000E+4,
452.00,1.21200000E+4,
454.00,1.20160000E+4,
456.00,1.19930000E+4,
458.00,1.22760000E+4,
460.00,1.26040000E+4,
462.00,1.23660000E+4,
464.00,1.27660000E+4,
466.00,1.28210000E+4,
468.00,1.28660000E+4,
470.00,1.28980000E+4,
472.00,1.27670000E+4,
474.00,1.33250000E+4,
476.00,1.32470000E+4,
478.00,1.33370000E+4,
480.00,1.36950000E+4,
482.00,1.40160000E+4,
484.00,1.40650000E+4,
486.00,1.45080000E+4,
488.00,1.47630000E+4,
490.00,1.49560000E+4,
492.00,1.54980000E+4,
494.00,1.60500000E+4,
496.00,1.68170000E+4,
498.00,1.71550000E+4,
500.00,1.80530000E+4,
502.00,1.96380000E+4,
504.00,2.05550000E+4,
506.00,2.19960000E+4,
508.00,2.36970000E+4,
510.00,2.53890000E+4,
512.00,2.75770000E+4,
514.00,2.88140000E+4,
516.00,3.10520000E+4,
518.00,3.34170000E+4,
520.00,3.59820000E+4,
522.00,3.90260000E+4,
524.00,4.42100000E+4,
526.00,5.04820000E+4,
528.00,5.83350000E+4,
530.00,6.86130000E+4,
532.00,8.45200000E+4,
534.00,1.05997000E+5,
536.00,1.35324000E+5,
538.00,1.70886000E+5,
540.00,2.05504000E+5,
542.00,2.38648000E+5,
544.00,2.72016000E+5,
546.00,2.87278000E+5,
548.00,2.94822000E+5,
550.00,3.00724000E+5,
552.00,2.99612000E+5,
554.00,2.85533000E+5,
556.00,2.80892000E+5,
558.00,2.60906000E+5,
560.00,2.50697000E+5,
562.00,2.27372000E+5,
564.00,2.10641000E+5,
566.00,1.95057000E+5,
568.00,1.80604000E+5,
570.00,1.79475000E+5,
572.00,1.71652000E+5,
574.00,1.60458000E+5,
576.00,1.50384000E+5,
578.00,1.49753000E+5,
580.00,1.53852000E+5,
582.00,1.57395000E+5,
584.00,1.67991000E+5,
586.00,1.79091000E+5,
588.00,1.84330000E+5,
590.00,1.89808000E+5,
592.00,1.92897000E+5,
594.00,1.92499000E+5,
596.00,1.89433000E+5,
598.00,1.87650000E+5,
600.00,1.77618000E+5,
602.00,1.68793000E+5,
604.00,1.59877000E+5,
606.00,1.49799000E+5,
608.00,1.38718000E+5,
610.00,1.29961000E+5,
612.00,1.18226000E+5,
614.00,1.11666000E+5,
616.00,1.00174000E+5,
618.00,9.22050000E+4,
620.00,8.63690000E+4,
622.00,8.04870000E+4,
624.00,7.47120000E+4,
626.00,7.01230000E+4,
628.00,6.67870000E+4,
630.00,6.28590000E+4,
632.00,6.15250000E+4,
634.00,5.84830000E+4,
636.00,5.69670000E+4,
638.00,5.58630000E+4,
640.00,5.47580000E+4,
642.00,5.34390000E+4,
644.00,5.31870000E+4,
646.00,5.22280000E+4,
648.00,5.10870000E+4,
650.00,4.90600000E+4,
652.00,4.68640000E+4,
654.00,4.53300000E+4,
656.00,4.21370000E+4,
658.00,3.93650000E+4,
660.00,3.71790000E+4,
662.00,3.47840000E+4,
664.00,3.22900000E+4,
666.00,3.01270000E+4,
668.00,2.80260000E+4,
670.00,2.60350000E+4,
672.00,2.36890000E+4,
674.00,2.21190000E+4,
676.00,2.08110000E+4,
678.00,1.89960000E+4,
680.00,1.43370000E+4,
682.00,1.31100000E+4,
684.00,1.22310000E+4,
686.00,1.12950000E+4,
688.00,1.02500000E+4,
690.00,9.31700000E+3,
692.00,8.77300000E+3,
694.00,8.32500000E+3,
696.00,7.77200000E+3,
698.00,7.47900000E+3,
700.00,6.72700000E+3,
702.00,6.61600000E+3,
704.00,6.00300000E+3,
706.00,5.76300000E+3,
708.00,5.61200000E+3,
710.00,5.41600000E+3,
712.00,5.18400000E+3,
714.00,4.85900000E+3,
716.00,4.59100000E+3,
718.00,4.31600000E+3,
720.00,4.04200000E+3,
722.00,3.93200000E+3,
724.00,3.64800000E+3,
726.00,3.24100000E+3,
728.00,3.13500000E+3,
730.00,2.85400000E+3,
732.00,2.68100000E+3,
734.00,2.58400000E+3,
736.00,2.27400000E+3,
738.00,2.01100000E+3,
740.00,1.87500000E+3,
742.00,1.71700000E+3,
744.00,1.60700000E+3,
746.00,1.50100000E+3,
748.00,1.40900000E+3,
750.00,1.28300000E+3,
